original,simplified
Genetic engineering has expanded the genes available to breeders to utilize in creating desired germlines for new crops .,Engineering has expanded the genes available to BREEDERS to utilize in creating desired Germlines for new crops. Engineering was genetic.  
"The name Jadgal applies specifically to groups that still speak the Jadgali language , in the Makran region of Iran and Pakistan .",The name applies specifically to groups. Groups that still speak the Jadgali language in the Makran region of Iran and Pakistan.  The name is Jadgal.  
Wikipedia is free content that anyone can edit and distribute ., Wikipedia is free content  that anyone can edit. And Wikipedia  distribute.  
The print collections are further supported by extensive microform holdings .,Extensive Microform Holdings further support the print collections.  
"Restoration of independence In 1991 , the Soviet Union broke apart and Armenia re-established its independence .","Restoration of independence   In 1991 ,  the Soviet Union broke apart. And   Armenia re-established  its independence.  "
An electron microscope is a type of microscope that uses a particle beam of electrons to illuminate a specimen and create a highly-magnified image .,An electron microscope is a type of microscope. A type that uses a particle beam of electrons to illuminate a specimen.  And microscope  create  a  highly - magnified image.  
This is known as the geocentric model of the Universe .,This is known as the geocentric model of the Universe . 
"It was founded in the 14th century by Genoese colonists , who employed large numbers of workmen -LRB- Calfats -RRB- in repairing ships .",Genoese colonists- Lrb- foundered it in the 14th century.  Genoese colonists who employed large numbers of workmen.  
"Much of the Enlightenment occurred in French intellectual circles , and major scientific breakthroughs were achieved by French scientists in the 18th century .",  Much  of the Enlightenment occurred  in French intellectual circles. And scientists achieved major scientific breakthroughs in the 18th century. Scientists were French.    
"Every rhombus is a parallelogram , and a rhombus with right angles is a square .","Every rhombus is a parallelogram , and a rhombus with right angles is a square . "
"The population of Afghanistan is divided into a wide variety of ethnic groups of which Tajik , Pashtun , Hazara , Uzbek and Baloch .","The population of Afghanistan is divided into a wide variety of ethnic groups of which Tajik , Pashtun , Hazara , Uzbek and Baloch . "
"The official language of Argentina is Spanish , usually called castellano -LRB- Castilian -RRB- by Argentines .",Argentines usually calls the language of Argentina Castellano- Lrb- Castilian- Rrb-.  The language is official.  
"It is the fifth largest country by geographical area , occupying nearly half of South America , the fifth most populous country , and the fourth most populous democracy in the world .",It is the fifth largest country by geographical area occupying nearly half of South America. South America is the fifth most populous country and the fourth most populous democracy in the world.  
"She has an older brother , Chad , and a twin brother who is 12 minutes younger than she is .","She has an older brother , Chad , and a twin brother who is 12 minutes younger than she is ."
